symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,entry_ref,anchor_err_pct,gross_pnl,exit_reason,hold_days,return_pct
MSFT,short,33,2022-12-14,2023-01-05,249.54,220.5,249.34,0.081,958.55,T3_HIT,22,11.64
GE,long,183,2022-12-19,2023-01-05,47.27,54.79,47.52,-0.524,1376.46,T3_HIT,17,15.91
MU,long,73,2022-12-23,2023-01-05,48.16,53.09,48.58,-0.864,359.65,T1_HIT,13,10.23
MU,long,73,2022-12-23,2023-01-06,48.16,54.6,48.58,-0.864,470.4,T2_HIT,14,13.38
INTC,long,155,2022-12-19,2023-01-09,25.94,27.81,25.96,-0.081,289.96,T1_HIT,21,7.21
NKE,short,155,2022-12-22,2023-01-09,106.71,116.71,108.1,-1.283,-1550.0,STOP_LOSS,18,-9.37
QCOM,long,36,2022-12-23,2023-01-09,101.45,107.95,102.36,-0.887,234.05,T1_HIT,17,6.41
MU,long,146,2022-12-23,2023-01-09,48.16,55.97,48.58,-0.864,1140.71,T3_HIT,17,16.22
INTC,long,155,2022-12-19,2023-01-10,25.94,28.2,25.96,-0.081,349.74,T2_HIT,22,8.7
INTC,long,310,2022-12-19,2023-01-13,25.94,28.9,25.96,-0.081,917.7,T3_HIT,25,11.41
QCOM,long,36,2022-12-23,2023-01-13,101.45,110.81,102.36,-0.887,336.93,T2_HIT,21,9.23
BAC,long,142,2022-12-12,2023-01-17,29.54,31.72,29.61,-0.224,309.02,T2_HIT,36,7.37
CVX,long,30,2022-12-19,2023-01-19,145.89,151.47,144.7,0.824,167.24,T2_HIT,31,3.82
QCOM,long,72,2022-12-23,2023-01-19,101.45,111.96,102.36,-0.887,756.43,T3_HIT,27,10.36
JPM,short,148,2023-01-05,2023-01-27,125.15,129.71,124.89,0.206,-675.83,TIME_STOP,22,-3.65
BAC,long,282,2022-12-12,2023-02-03,29.54,32.94,29.61,-0.224,956.64,T3_HIT,53,11.48
LLY,long,56,2023-01-23,2023-02-03,336.85,323.57,336.32,0.157,-743.41,STOP_LOSS,11,-3.94
LMT,long,12,2023-01-17,2023-02-07,410.13,430.4,409.71,0.104,243.18,T1_HIT,21,4.94
LLY,long,14,2023-02-03,2023-02-10,323.57,333.6,321.39,0.679,140.41,T1_HIT,7,3.1
PFE,long,526,2023-01-20,2023-02-13,36.2,35.24,35.94,0.715,-504.16,TIME_STOP,24,-2.65
LMT,long,12,2023-01-17,2023-02-14,410.13,439.42,409.71,0.104,351.39,T2_HIT,28,7.14
GOOGL,long,48,2023-02-23,2023-03-07,91.11,94.15,90.84,0.3,145.59,T1_HIT,12,3.33
NFLX,long,521,2023-02-24,2023-03-10,31.93,29.79,32.37,-1.359,-1114.94,STOP_LOSS,14,-6.7
AAPL,short,31,2023-03-07,2023-03-13,151.24,145.44,151.36,-0.082,179.66,T1_HIT,6,3.83
CVX,long,60,2022-12-19,2023-03-14,145.89,136.93,144.7,0.824,-537.79,STOP_LOSS,85,-6.14
LLY,long,44,2023-02-03,2023-03-14,323.57,315.94,321.39,0.679,-335.74,POST_T1_STOP,39,-2.36
GE,short,64,2023-03-10,2023-03-14,72.1,71.53,71.84,0.368,36.66,T1_HIT,4,0.79
