symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,gross_pnl,exit_reason,hold_days,return_pct
PFE,long,151,2022-05-03,2022-05-23,38.79,42.08,496.09,T2_HIT,20,8.47
LMT,long,15,2022-05-23,2022-05-25,381.96,396.3,215.0,T1_HIT,2,3.75
CVX,long,87,2022-04-26,2022-05-26,134.01,150.15,1403.77,T3_HIT,30,12.04
PFE,long,301,2022-05-03,2022-05-26,38.79,43.26,1345.39,T3_HIT,23,11.52
GOOGL,long,44,2022-05-25,2022-05-31,104.06,111.76,338.48,T1_HIT,6,7.39
GOOGL,long,44,2022-05-25,2022-06-01,104.06,113.85,430.44,T2_HIT,7,9.4
MSFT,long,20,2022-05-13,2022-06-02,248.42,255.86,148.96,T2_HIT,20,3.0
ABBV,long,130,2022-05-02,2022-06-07,125.89,126.12,30.13,POST_T1_STOP,36,0.18
GOOGL,long,87,2022-05-25,2022-06-07,104.06,114.47,905.04,T3_HIT,13,10.0
LMT,long,15,2022-05-23,2022-06-08,381.96,406.44,367.09,T2_HIT,16,6.41
AAPL,long,100,2022-05-13,2022-06-17,141.74,127.51,-1423.42,STOP_LOSS,35,-10.04
WFC,long,142,2022-06-17,2022-06-22,34.15,34.66,71.79,T1_HIT,5,1.48
PG,long,50,2022-06-16,2022-06-23,118.1,125.33,361.44,T1_HIT,7,6.12
GS,long,23,2022-06-14,2022-06-27,257.52,274.48,390.17,T1_HIT,13,6.59
PG,long,50,2022-06-16,2022-06-27,118.1,129.9,589.94,T2_HIT,11,9.99
WFC,long,142,2022-06-17,2022-06-27,34.15,36.87,385.86,T2_HIT,10,7.96
HD,long,23,2022-06-17,2022-06-28,244.49,256.02,265.19,T1_HIT,11,4.72
GS,long,23,2022-06-14,2022-06-29,257.52,274.76,396.63,T2_HIT,15,6.7
HON,long,142,2022-06-14,2022-07-06,168.12,156.88,-1595.02,STOP_LOSS,22,-6.68
HD,long,23,2022-06-17,2022-07-18,244.49,268.17,544.69,T2_HIT,31,9.69
LMT,long,31,2022-05-23,2022-07-19,381.96,340.63,-1281.24,STOP_LOSS,57,-10.82
WFC,long,283,2022-06-17,2022-07-19,34.15,37.81,1034.72,T3_HIT,32,10.71
GS,long,46,2022-06-14,2022-07-20,257.52,287.36,1372.78,T3_HIT,36,11.59
HD,long,46,2022-06-17,2022-07-25,244.49,276.79,1485.71,T3_HIT,38,13.21
PG,long,100,2022-06-16,2022-07-29,118.1,128.31,1020.16,T3_HIT,43,8.64
WMT,long,160,2022-07-27,2022-07-29,38.49,40.74,359.67,T1_HIT,2,5.84
WMT,long,160,2022-07-27,2022-08-01,38.49,41.61,498.87,T2_HIT,5,8.1
META,long,25,2022-07-29,2022-08-04,156.32,166.83,262.94,T1_HIT,6,6.73
MSFT,long,39,2022-05-13,2022-08-09,248.42,270.56,863.65,T3_HIT,88,8.91
META,long,25,2022-07-29,2022-08-09,156.32,167.48,279.05,T2_HIT,11,7.14
META,long,50,2022-07-29,2022-08-11,156.32,178.15,1091.42,T3_HIT,13,13.96
MU,long,93,2022-08-10,2022-08-11,58.85,60.81,182.43,T1_HIT,1,3.33
MU,long,93,2022-08-10,2022-08-12,58.85,61.46,242.63,T2_HIT,2,4.43
WMT,long,322,2022-07-27,2022-08-17,38.49,44.19,1833.47,T3_HIT,21,14.79
MRK,long,319,2022-07-29,2022-08-22,79.85,81.38,489.17,TIME_STOP,24,1.92
INTC,long,649,2022-08-01,2022-08-23,33.96,32.33,-1055.7,TIME_STOP,22,-4.79
ABBV,long,204,2022-08-01,2022-08-23,122.61,121.0,-328.77,TIME_STOP,22,-1.31
MU,long,185,2022-08-10,2022-09-08,58.85,53.44,-999.77,STOP_LOSS,29,-9.18
AMD,long,50,2022-09-02,2022-09-12,83.32,84.89,78.5,T1_HIT,10,1.88
AMAT,long,54,2022-09-02,2022-09-12,90.23,93.86,196.15,T1_HIT,10,4.03
NKE,long,64,2022-09-07,2022-09-12,97.81,103.68,375.32,T1_HIT,5,6.0
NVDA,long,237,2022-09-02,2022-09-13,14.06,13.77,-69.46,T1_HIT,11,-2.08
IWM,long,37,2022-09-02,2022-09-13,174.37,175.57,44.28,T1_HIT,11,0.69
GE,long,142,2022-09-07,2022-09-13,43.9,44.73,117.91,T1_HIT,6,1.89
NVDA,long,711,2022-09-02,2022-09-16,14.06,12.71,-960.18,STOP_LOSS,14,-9.6
AMD,long,151,2022-09-02,2022-09-16,83.32,75.62,-1162.7,STOP_LOSS,14,-9.24
GE,long,426,2022-09-07,2022-09-19,43.9,40.05,-1641.25,STOP_LOSS,12,-8.78
HON,long,151,2022-09-09,2022-09-19,172.58,160.61,-1806.54,STOP_LOSS,10,-6.93
AAPL,long,41,2022-09-19,2022-09-21,146.58,154.46,323.2,T1_HIT,2,5.38
AMAT,long,164,2022-09-02,2022-09-26,90.23,81.64,-1407.44,STOP_LOSS,24,-9.51
IWM,long,112,2022-09-02,2022-09-26,174.37,157.96,-1837.43,STOP_LOSS,24,-9.41
NKE,long,192,2022-09-07,2022-09-26,97.81,89.45,-1606.72,STOP_LOSS,19,-8.56
AMZN,long,176,2022-09-19,2022-09-26,122.16,113.3,-1559.36,STOP_LOSS,7,-7.25
AAPL,long,124,2022-09-19,2022-10-03,146.58,135.68,-1351.19,STOP_LOSS,14,-7.43
NKE,long,255,2022-09-26,2022-10-03,89.45,77.38,-3076.26,STOP_LOSS,7,-13.49
GE,long,146,2022-09-26,2022-10-05,39.45,40.77,192.79,T1_HIT,9,3.35
MSFT,long,103,2022-09-19,2022-10-11,235.1,220.7,-1483.03,TIME_STOP,22,-6.12
GOOGL,long,240,2022-09-19,2022-10-11,100.86,96.57,-1027.69,TIME_STOP,22,-4.25
