symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,return_pct,gross_pnl,hold_days
UNH,short,39,2025-08-19,2025-09-10,300.84,336.55,-11.87,-1392.45,22
MU,short,126,2025-09-11,2025-09-12,147.48,153.3,-3.95,-733.4,1
MU,short,107,2025-09-12,2025-09-19,153.3,162.49,-5.99,-982.82,7
QCOM,short,58,2025-06-30,2025-09-24,155.12,166.5,-7.34,-660.17,86
AAPL,short,74,2025-09-17,2025-09-24,238.3,254.5,-6.8,-1199.11,7
AMAT,short,92,2025-09-22,2025-09-30,192.33,203.45,-5.78,-1023.08,8
ABBV,short,81,2025-09-22,2025-10-02,215.77,233.64,-8.28,-1447.91,10
MU,short,74,2025-09-24,2025-10-02,164.82,184.66,-12.04,-1468.76,8
AMD,short,56,2025-10-07,2025-10-09,214.85,236.3,-9.98,-1201.2,2
INTC,short,287,2025-10-27,2025-10-29,38.39,41.6,-8.36,-921.27,2
META,long,24,2025-10-31,2025-11-10,672.76,629.45,-6.44,-1039.38,10
MU,short,37,2025-11-07,2025-11-18,233.8,235.25,-0.62,-53.6,11
GOOGL,short,58,2025-11-18,2025-11-25,287.36,325.57,-13.3,-2216.48,7
MRK,short,176,2025-11-24,2025-11-26,96.86,102.22,-5.53,-942.5,2
NFLX,long,164,2025-12-05,2025-12-11,98.78,93.9,-4.94,-800.32,6
NKE,long,138,2025-11-19,2025-12-24,61.08,57.97,-5.08,-428.54,35
C,short,152,2025-12-19,2025-12-26,112.08,120.45,-7.46,-1271.73,7
LMT,short,24,2026-01-07,2026-01-15,519.16,562.0,-8.25,-1028.21,8
NFLX,long,185,2026-01-12,2026-01-22,89.69,85.02,-5.21,-863.95,10
INTC,short,229,2026-01-21,2026-01-22,50.32,54.21,-7.73,-890.81,1
AMD,short,57,2026-01-21,2026-01-22,235.99,251.75,-6.68,-898.32,1
COP,short,128,2026-01-06,2026-02-05,98.69,105.34,-6.74,-851.0,30
MRK,short,114,2026-01-09,2026-02-05,109.27,116.6,-6.71,-835.91,27
JNJ,short,74,2026-01-23,2026-02-06,217.39,236.34,-8.72,-1402.28,14
MSFT,long,36,2026-01-30,2026-02-06,437.22,397.4,-9.11,-1433.62,7
NFLX,long,187,2026-01-22,2026-02-13,85.02,76.14,-10.44,-1660.56,22
AMAT,short,25,2026-01-16,2026-02-17,324.91,350.13,-7.76,-630.43,32
AMAT,short,27,2026-02-17,2026-02-26,350.13,391.31,-11.76,-1112.02,9
BA,long,65,2026-03-10,2026-03-13,224.1,205.0,-8.52,-1241.5,3
COP,short,94,2026-03-04,2026-03-23,115.53,122.72,-6.22,-675.54,19
XOM,short,71,2026-03-03,2026-03-25,154.38,162.77,-5.43,-595.2,22
MU,long,18,2026-03-26,2026-03-27,369.81,359.65,-2.75,-182.78,1
NVDA,long,33,2025-11-24,2026-03-31,179.26,166.78,-6.97,-412.03,127
CAT,short,10,2026-02-11,2026-04-20,755.84,789.44,-4.45,-335.99,68
INTC,short,154,2026-04-24,2026-04-27,82.2,83.67,-1.79,-226.38,3
QCOM,short,74,2026-04-28,2026-05-01,144.55,178.47,-23.47,-2510.43,3
UNH,short,42,2026-04-22,2026-05-11,348.89,378.29,-8.43,-1234.89,19
