date,pv
2021-11-05,93866.5
2021-11-08,94360.34
2021-11-09,92978.57
2021-11-10,93564.05
2021-11-11,94005.98
2021-11-12,94314.51
2021-11-15,94777.1
2021-11-16,94059.7
2021-11-17,93806.32
2021-11-18,92670.43
2021-11-19,92281.42
2021-11-22,93594.53
2021-11-23,94871.49
2021-11-24,94920.24
2021-11-26,93805.18
2021-11-29,94440.35
2021-11-30,91774.77
2021-12-01,90593.05
2021-12-02,92830.9
2021-12-03,92249.76
2021-12-06,94187.19
2021-12-07,94361.1
2021-12-08,93649.19
2021-12-09,93784.9
2021-12-10,94020.25
2021-12-13,92791.39
2021-12-14,92845.02
2021-12-15,92133.04
2021-12-16,93266.44
2021-12-17,91512.58
2021-12-20,90346.97
2021-12-21,90526.86
2021-12-22,91287.3
2021-12-23,91368.84
2021-12-27,92531.75
2021-12-28,92729.37
2021-12-29,92785.93
2021-12-30,92625.26
2021-12-31,92419.05
2022-01-03,92369.25
2022-01-04,92578.24
2022-01-05,90536.36
2022-01-06,90551.89
2022-01-07,89568.95
2022-01-10,88787.69
2022-01-11,87631.23
2022-01-12,87909.99
2022-01-13,86779.15
2022-01-14,86490.77
2022-01-18,84492.75
2022-01-19,84744.26
2022-01-20,84630.5
2022-01-21,83921.33
2022-01-24,84288.63
2022-01-25,83026.05
2022-01-26,82845.27
2022-01-27,83472.91
2022-01-28,86604.67
2022-01-31,89022.06
2022-02-01,89780.42
2022-02-02,89914.11
2022-02-03,88857.01
2022-02-04,89234.64
2022-02-07,88658.29
2022-02-08,89519.3
2022-02-09,89812.14
2022-02-10,89423.03
2022-02-11,88739.24
2022-02-14,88419.27
2022-02-15,89064.55
2022-02-16,88898.27
2022-02-17,88457.46
2022-02-18,87856.3
2022-02-22,87292.75
2022-02-23,86670.82
2022-02-24,86790.39
2022-02-25,88959.66
2022-02-28,87521.71
2022-03-01,85449.49
2022-03-02,87583.78
2022-03-03,87039.53
2022-03-04,85612.74
2022-03-07,83354.38
2022-03-08,84200.08
2022-03-09,86848.82
2022-03-10,85382.48
2022-03-11,85380.25
